nlc,station_name,easting,northing,lines,network,london_underground,elizabeth_line,london_overground,dlr,zone,longitude,latitude
879,"CUTTY SARK",538206,177733,DLR,,,,,Yes,"2,3",-0.010000,51.480000
882,BLACKWALL,538398,180664,DLR,,,,,Yes,2,-0.010000,51.510000
883,"EAST INDIA",538732,180831,DLR,,,,,Yes,"2,3",0.000000,51.510000
884,"CANNING TOWN",539428,181377,"DLR, Jubilee ","London Underground",Yes,,,Yes,"2,3",0.010000,51.510000
886,"ROYAL VICTORIA",540122,180852,DLR,,,,,Yes,3,0.020000,51.510000
887,"CUSTOM HOUSE",540731,180925,"DLR, TfL Rail",,,Yes,,Yes,3,0.030000,51.510000
888,"PRINCE REGENT",541264,180899,DLR,,,,,Yes,3,0.040000,51.510000
889,"STAR LANE",539145,182115,DLR,,,,,Yes,"2,3",0.010000,51.520000
890,"ROYAL ALBERT",542077,180815,DLR,,,,,Yes,3,0.050000,51.510000
891,"BECKTON PARK",542705,180873,DLR,,,,,Yes,3,0.060000,51.510000
893,CYPRUS,543331,180860,DLR,,,,,Yes,3,0.070000,51.510000
894,"GALLIONS REACH",543872,180929,DLR,,,,,Yes,3,0.070000,51.510000
895,BECKTON,543165,181514,DLR,,,,,Yes,3,0.060000,51.510000
897,"DEPTFORD BRIDGE",537438,176892,DLR,,,,,Yes,"2,3",-0.020000,51.470000
898,"ELVERSON ROAD",537877,176280,DLR,,,,,Yes,"2,3",-0.010000,51.470000
928,GREENWICH,538052,177334,DLR,,,,,Yes,"2,3",-0.010000,51.480000
940,"LEWISHAM DLR",538046,175946,DLR,,,,,Yes,"2,3",-0.010000,51.470000
1022,HAGGERSTON,533560,183992,"London Overground",,,,Yes,,2,-0.070000,51.540000
1023,HOXTON,533576,183148,"London Overground",,,,Yes,,"1,2",-0.070000,51.530000
1024,"SHOREDITCH HIGH STREET",533555,182248,"London Overground",,,,Yes,,1,-0.070000,51.520000
1039,ROTHERHITHE,535299,179811,"London Overground",,,,Yes,,2,-0.050000,51.500000
1082,"SHADWELL LO",534932,180932,"London Overground",,,,Yes,,2,-0.060000,51.510000
1083,"SURREY QUAYS",535631,178962,"London Overground",,,,Yes,,2,-0.050000,51.490000
1085,WAPPING,535023,180174,"London Overground",,,,Yes,,2,-0.050000,51.500000
1335,"BARKING RIVERSIDE",546824,182141,"London Overground",,,,Yes,,4,0.110000,51.520000
1395,BUSHEY,511823,195237,"London Overground",,,,Yes,,8,-0.380000,51.640000
1398,"HATCH END",513054,191323,"London Overground",,,,Yes,,6,-0.370000,51.610000
1402,"WATFORD JUNCTION",511021,197351,"London Overground",,,,Yes,,8,-0.390000,51.660000
1404,"ACTON CENTRAL",520296,181196,"London Overground",,,,Yes,,3,-0.260000,51.510000
1409,"GOSPEL OAK",528277,185673,"London Overground",,,,Yes,,2,-0.150000,51.550000
1413,"HAMPSTEAD HEATH",527265,185636,"London Overground",,,,Yes,,2,-0.160000,51.550000
1415,"KILBURN HIGH ROAD",525475,183594,"London Overground",,,,Yes,,2,-0.190000,51.540000
1421,"WEST HAMPSTEAD LO",525579,184651,"London Overground",,,,Yes,,2,-0.190000,51.550000
1429,"DALSTON KINGSLAND",533528,185027,"London Overground",,,,Yes,,2,-0.070000,51.550000
1437,BRONDESBURY,524760,184467,"London Overground",,,,Yes,,2,-0.200000,51.540000
